transaction_id,customer_id,product_id,transaction_date,due_date,quantity,gross_amount,discount,net_amount,settled_date,status,late_settlement
T100034,10408,515,03/01/2024,05/01/2024,1,187.56,9.38,178.18,03/01/2024,Settled,FALSE
T100035,10488,519,03/01/2024,05/01/2024,1,81.9,0,81.9,08/01/2024,Settled,TRUE
T100036,10344,516,03/01/2024,05/01/2024,2,159.66,0,159.66,03/01/2024,Settled,FALSE
T100037,10163,502,03/01/2024,05/01/2024,1,12.49,0,12.49,05/01/2024,Settled,FALSE
T100038,10296,516,03/01/2024,05/01/2024,1,79.83,7.98,71.85,03/01/2024,Settled,FALSE
T100039,10256,512,03/01/2024,05/01/2024,1,183.58,9.18,174.4,03/01/2024,Settled,FALSE
T100040,10052,511,03/01/2024,05/01/2024,1,110.44,5.52,104.92,23/01/2024,Settled,TRUE
T100041,10026,513,03/01/2024,05/01/2024,2,297.68,0,297.68,02/02/2024,Settled,TRUE
T100042,10435,510,03/01/2024,05/01/2024,2,199.06,0,199.06,04/01/2024,Settled,FALSE
T100043,10327,504,04/01/2024,06/01/2024,1,79.03,15.81,63.22,09/01/2024,Settled,TRUE
T100044,10428,511,04/01/2024,06/01/2024,1,110.44,0,110.44,04/03/2024,In Arrears,TRUE
T100045,10162,508,04/01/2024,06/01/2024,1,189.86,0,189.86,06/01/2024,Settled,FALSE
T100046,10302,520,04/01/2024,06/01/2024,1,152.46,0,152.46,14/01/2024,Settled,TRUE
T100047,10284,512,04/01/2024,06/01/2024,1,183.58,0,183.58,04/01/2024,Settled,FALSE
T100048,10157,509,04/01/2024,06/01/2024,1,147.18,0,147.18,14/01/2024,Settled,TRUE
T100049,10028,515,04/01/2024,06/01/2024,1,187.56,37.51,150.05,05/01/2024,Settled,FALSE
T100050,10188,505,04/01/2024,06/01/2024,1,155.08,7.75,147.33,04/01/2024,Settled,FALSE
T100051,10344,515,04/01/2024,06/01/2024,1,187.56,0,187.56,03/02/2024,Settled,TRUE
T100052,10021,516,04/01/2024,06/01/2024,3,239.49,23.95,215.54,05/01/2024,Settled,FALSE
T100053,10119,501,04/01/2024,06/01/2024,1,190.32,38.06,152.26,06/01/2024,Settled,FALSE
T100054,10276,507,04/01/2024,06/01/2024,1,187.31,0,187.31,05/01/2024,Settled,FALSE
T100055,10017,507,04/01/2024,06/01/2024,1,187.31,9.37,177.94,06/01/2024,Settled,FALSE
T100056,10468,514,04/01/2024,06/01/2024,1,151.26,0,151.26,09/01/2024,Settled,TRUE
T100057,10347,511,04/01/2024,06/01/2024,1,110.44,11.04,99.4,04/01/2024,Settled,FALSE
T100058,10425,508,04/01/2024,06/01/2024,1,189.86,0,189.86,05/01/2024,Settled,FALSE
T100059,10328,507,04/01/2024,06/01/2024,1,187.31,9.37,177.94,18/02/2024,In Arrears,TRUE
T100060,10054,509,04/01/2024,06/01/2024,1,147.18,7.36,139.82,05/01/2024,Settled,FALSE
T100061,10249,501,04/01/2024,06/01/2024,1,190.32,0,190.32,04/01/2024,Settled,FALSE
T100062,10278,515,04/01/2024,06/01/2024,1,187.56,18.76,168.8,03/02/2024,Settled,TRUE
T100063,10047,517,05/01/2024,07/01/2024,1,166.76,33.35,133.41,05/01/2024,Settled,FALSE
T100064,10441,518,05/01/2024,07/01/2024,1,152.22,7.61,144.61,05/01/2024,Settled,FALSE
T100065,10044,511,05/01/2024,07/01/2024,1,110.44,0,110.44,10/01/2024,Settled,TRUE
T100066,10218,520,05/01/2024,07/01/2024,1,152.46,15.25,137.21,19/02/2024,In Arrears,TRUE
T100067,10088,518,05/01/2024,07/01/2024,2,304.44,0,304.44,10/01/2024,Settled,TRUE
T100068,10420,514,05/01/2024,07/01/2024,2,302.52,0,302.52,05/03/2024,In Arrears,TRUE
T100069,10145,507,05/01/2024,07/01/2024,1,187.31,9.37,177.94,06/01/2024,Settled,FALSE
T100070,10289,502,05/01/2024,07/01/2024,1,12.49,0,12.49,06/01/2024,Settled,FALSE
T100071,10221,503,05/01/2024,07/01/2024,1,103.95,0,103.95,06/01/2024,Settled,FALSE
T100072,10091,503,05/01/2024,07/01/2024,1,103.95,0,103.95,05/01/2024,Settled,FALSE
T100073,10050,513,05/01/2024,07/01/2024,1,148.84,0,148.84,06/01/2024,Settled,FALSE
T100074,10070,512,05/01/2024,07/01/2024,1,183.58,9.18,174.4,05/01/2024,Settled,FALSE
T100075,10199,510,05/01/2024,07/01/2024,1,99.53,9.95,89.58,05/01/2024,Settled,FALSE
T100076,10343,504,05/01/2024,07/01/2024,1,79.03,0,79.03,19/02/2024,In Arrears,TRUE
T100077,10243,506,05/01/2024,07/01/2024,1,121.16,6.06,115.1,07/01/2024,Settled,FALSE
T100078,10034,506,06/01/2024,08/01/2024,1,121.16,0,121.16,11/01/2024,Settled,TRUE
T100079,10239,508,06/01/2024,08/01/2024,1,189.86,18.99,170.87,06/01/2024,Settled,FALSE
T100080,10151,520,06/01/2024,08/01/2024,1,152.46,15.25,137.21,11/01/2024,Settled,TRUE
T100081,10441,516,06/01/2024,08/01/2024,1,79.83,0,79.83,11/01/2024,Settled,TRUE
T100082,10468,508,06/01/2024,08/01/2024,1,189.86,0,189.86,06/01/2024,Settled,FALSE
T100083,10419,510,06/01/2024,08/01/2024,1,99.53,0,99.53,07/01/2024,Settled,FALSE
T100084,10147,514,06/01/2024,08/01/2024,1,151.26,0,151.26,06/01/2024,Settled,FALSE
T100085,10238,515,06/01/2024,08/01/2024,1,187.56,0,187.56,06/01/2024,Settled,FALSE
T100086,10155,503,06/01/2024,08/01/2024,1,103.95,0,103.95,08/01/2024,Settled,FALSE
T100087,10061,501,06/01/2024,08/01/2024,3,570.96,0,570.96,06/01/2024,Settled,FALSE
T100088,10260,509,06/01/2024,08/01/2024,1,147.18,0,147.18,07/01/2024,Settled,FALSE
T100089,10195,508,06/01/2024,08/01/2024,1,189.86,18.99,170.87,26/01/2024,Settled,TRUE
T100090,10293,506,06/01/2024,08/01/2024,1,121.16,6.06,115.1,06/01/2024,Settled,FALSE
T100091,10133,505,06/01/2024,08/01/2024,1,155.08,0,155.08,11/01/2024,Settled,TRUE
T100092,10470,518,06/01/2024,08/01/2024,1,152.22,0,152.22,06/01/2024,Settled,FALSE
T100093,10381,501,06/01/2024,08/01/2024,1,190.32,0,190.32,08/01/2024,Settled,FALSE
T100094,10366,508,07/01/2024,09/01/2024,3,569.58,0,569.58,06/02/2024,Settled,TRUE
T100095,10367,508,07/01/2024,09/01/2024,1,189.86,18.99,170.87,21/02/2024,In Arrears,TRUE
T100096,10204,505,07/01/2024,09/01/2024,2,310.16,31.02,279.14,08/01/2024,Settled,FALSE
T100097,10201,502,07/01/2024,09/01/2024,1,12.49,0.62,11.87,09/01/2024,Settled,FALSE
T100098,10392,516,07/01/2024,09/01/2024,1,79.83,3.99,75.84,27/01/2024,Settled,TRUE
T100099,10443,501,07/01/2024,09/01/2024,1,190.32,9.52,180.8,09/01/2024,Settled,FALSE
T100100,10043,513,07/01/2024,09/01/2024,2,297.68,14.88,282.8,09/01/2024,Settled,FALSE
T100101,10358,502,07/01/2024,09/01/2024,1,12.49,0,12.49,12/01/2024,Settled,TRUE
T100102,10088,519,07/01/2024,09/01/2024,2,163.8,16.38,147.42,09/01/2024,Settled,FALSE
T100103,10382,503,07/01/2024,09/01/2024,1,103.95,0,103.95,07/01/2024,Settled,FALSE
T100104,10341,510,07/01/2024,09/01/2024,1,99.53,0,99.53,09/01/2024,Settled,FALSE
T100105,10124,514,07/01/2024,09/01/2024,1,151.26,0,151.26,07/01/2024,Settled,FALSE
T100106,10009,511,07/01/2024,09/01/2024,1,110.44,0,110.44,09/01/2024,Settled,FALSE
T100107,10020,501,08/01/2024,10/01/2024,1,190.32,0,190.32,10/01/2024,Settled,FALSE
T100108,10497,502,08/01/2024,10/01/2024,1,12.49,0.62,11.87,08/01/2024,Settled,FALSE
T100109,10397,519,08/01/2024,10/01/2024,1,81.9,4.1,77.8,13/01/2024,Settled,TRUE
T100110,10033,512,08/01/2024,10/01/2024,2,367.16,0,367.16,08/01/2024,Settled,FALSE
T100111,10186,509,08/01/2024,10/01/2024,1,147.18,0,147.18,10/01/2024,Settled,FALSE
T100112,10297,516,08/01/2024,10/01/2024,1,79.83,3.99,75.84,09/01/2024,Settled,FALSE
T100113,10485,502,08/01/2024,10/01/2024,1,12.49,2.5,9.99,28/01/2024,Settled,TRUE
T100114,10464,518,08/01/2024,10/01/2024,1,152.22,0,152.22,22/02/2024,In Arrears,TRUE
T100115,10296,516,08/01/2024,10/01/2024,1,79.83,0,79.83,08/03/2024,In Arrears,TRUE
T100116,10070,520,08/01/2024,10/01/2024,1,152.46,0,152.46,28/01/2024,Settled,TRUE
T100117,10297,518,08/01/2024,10/01/2024,1,152.22,7.61,144.61,18/01/2024,Settled,TRUE
T100118,10099,510,08/01/2024,10/01/2024,1,99.53,0,99.53,10/01/2024,Settled,FALSE
T100119,10193,506,08/01/2024,10/01/2024,1,121.16,0,121.16,18/01/2024,Settled,TRUE
T100120,10312,502,08/01/2024,10/01/2024,1,12.49,0,12.49,13/01/2024,Settled,TRUE
T100121,10086,503,09/01/2024,11/01/2024,1,103.95,0,103.95,29/01/2024,Settled,TRUE
T100122,10409,509,09/01/2024,11/01/2024,1,147.18,0,147.18,29/01/2024,Settled,TRUE
T100123,10340,507,09/01/2024,11/01/2024,2,374.62,0,374.62,14/01/2024,Settled,TRUE
T100124,10203,520,09/01/2024,11/01/2024,2,304.92,30.49,274.43,14/01/2024,Settled,TRUE
T100125,10435,507,09/01/2024,11/01/2024,1,187.31,0,187.31,11/01/2024,Settled,FALSE
T100126,10367,519,09/01/2024,11/01/2024,1,81.9,4.1,77.8,09/01/2024,Settled,FALSE
T100127,10267,506,09/01/2024,11/01/2024,2,242.32,0,242.32,29/01/2024,Settled,TRUE
T100128,10072,506,09/01/2024,11/01/2024,1,121.16,0,121.16,09/01/2024,Settled,FALSE
T100129,10022,506,09/01/2024,11/01/2024,1,121.16,0,121.16,10/01/2024,Settled,FALSE
T100130,10137,517,09/01/2024,11/01/2024,2,333.52,16.68,316.84,19/01/2024,Settled,TRUE
T100131,10008,515,09/01/2024,11/01/2024,1,187.56,0,187.56,09/01/2024,Settled,FALSE
T100132,10297,509,09/01/2024,11/01/2024,2,294.36,0,294.36,14/01/2024,Settled,TRUE
T100133,10409,507,09/01/2024,11/01/2024,1,187.31,9.37,177.94,14/01/2024,Settled,TRUE
T100134,10464,503,09/01/2024,11/01/2024,2,207.9,10.4,197.5,29/01/2024,Settled,TRUE
T100135,10329,508,09/01/2024,11/01/2024,1,189.86,0,189.86,29/01/2024,Settled,TRUE
T100136,10065,509,09/01/2024,11/01/2024,1,147.18,0,147.18,08/02/2024,Settled,TRUE
T100137,10236,514,09/01/2024,11/01/2024,1,151.26,0,151.26,14/01/2024,Settled,TRUE
T100138,10180,507,09/01/2024,11/01/2024,1,187.31,9.37,177.94,08/02/2024,Settled,TRUE
T100139,10170,506,09/01/2024,11/01/2024,1,121.16,12.12,109.04,19/01/2024,Settled,TRUE
T100140,10091,513,09/01/2024,11/01/2024,1,148.84,7.44,141.4,11/01/2024,Settled,FALSE
T100141,10225,514,10/01/2024,12/01/2024,2,302.52,30.25,272.27,12/01/2024,Settled,FALSE
T100142,10162,502,10/01/2024,12/01/2024,3,37.47,0,37.47,10/01/2024,Settled,FALSE
T100143,10063,504,10/01/2024,12/01/2024,1,79.03,7.9,71.13,09/02/2024,Settled,TRUE
T100144,10464,505,10/01/2024,12/01/2024,2,310.16,0,310.16,20/01/2024,Settled,TRUE
T100145,10318,517,10/01/2024,12/01/2024,2,333.52,0,333.52,11/01/2024,Settled,FALSE
T100146,10274,502,10/01/2024,12/01/2024,1,12.49,0,12.49,12/01/2024,Settled,FALSE
T100147,10302,515,10/01/2024,12/01/2024,1,187.56,18.76,168.8,15/01/2024,Settled,TRUE
T100148,10201,514,10/01/2024,12/01/2024,1,151.26,15.13,136.13,15/01/2024,Settled,TRUE
T100149,10259,520,10/01/2024,12/01/2024,1,152.46,7.62,144.84,12/01/2024,Settled,FALSE
T100150,10347,514,10/01/2024,12/01/2024,1,151.26,0,151.26,10/01/2024,Settled,FALSE
T100151,10228,513,10/01/2024,12/01/2024,3,446.52,44.65,401.87,12/01/2024,Settled,FALSE
T100152,10059,516,10/01/2024,12/01/2024,2,159.66,0,159.66,12/01/2024,Settled,FALSE
T100153,10244,517,10/01/2024,12/01/2024,2,333.52,0,333.52,10/01/2024,Settled,FALSE
T100154,10199,511,11/01/2024,13/01/2024,2,220.88,0,220.88,11/01/2024,Settled,FALSE
T100155,10266,517,11/01/2024,13/01/2024,1,166.76,0,166.76,11/01/2024,Settled,FALSE
T100156,10400,519,11/01/2024,13/01/2024,1,81.9,4.1,77.8,25/02/2024,In Arrears,TRUE
T100157,10040,512,11/01/2024,13/01/2024,2,367.16,0,367.16,13/01/2024,Settled,FALSE
T100158,10030,515,11/01/2024,13/01/2024,2,375.12,18.76,356.36,16/01/2024,Settled,TRUE
T100159,10014,518,11/01/2024,13/01/2024,1,152.22,7.61,144.61,11/01/2024,Settled,FALSE
T100160,10500,518,11/01/2024,13/01/2024,1,152.22,15.22,137,10/02/2024,Settled,TRUE
T100161,10331,515,11/01/2024,13/01/2024,1,187.56,37.51,150.05,21/01/2024,Settled,TRUE
T100162,10367,508,11/01/2024,13/01/2024,1,189.86,9.49,180.37,31/01/2024,Settled,TRUE
T100163,10190,520,11/01/2024,13/01/2024,3,457.38,0,457.38,13/01/2024,Settled,FALSE
T100164,10057,504,11/01/2024,13/01/2024,2,158.06,0,158.06,16/01/2024,Settled,TRUE
T100165,10014,510,11/01/2024,13/01/2024,1,99.53,0,99.53,10/02/2024,Settled,TRUE
T100166,10297,505,11/01/2024,13/01/2024,2,310.16,0,310.16,31/01/2024,Settled,TRUE
T100167,10372,515,11/01/2024,13/01/2024,1,187.56,0,187.56,13/01/2024,Settled,FALSE
T100168,10455,503,11/01/2024,13/01/2024,1,103.95,10.4,93.55,11/01/2024,Settled,FALSE
T100169,10445,519,11/01/2024,13/01/2024,1,81.9,8.19,73.71,11/01/2024,Settled,FALSE
T100170,10345,506,12/01/2024,14/01/2024,1,121.16,0,121.16,17/01/2024,Settled,TRUE
T100171,10287,513,12/01/2024,14/01/2024,1,148.84,0,148.84,14/01/2024,Settled,FALSE
T100172,10230,512,12/01/2024,14/01/2024,1,183.58,9.18,174.4,01/02/2024,Settled,TRUE
T100173,10260,519,12/01/2024,14/01/2024,1,81.9,4.1,77.8,14/01/2024,Settled,FALSE
T100174,10082,502,12/01/2024,14/01/2024,1,12.49,0,12.49,14/01/2024,Settled,FALSE
T100175,10404,505,12/01/2024,14/01/2024,1,155.08,15.51,139.57,12/01/2024,Settled,FALSE
T100176,10372,506,12/01/2024,14/01/2024,1,121.16,0,121.16,13/01/2024,Settled,FALSE
T100177,10110,501,12/01/2024,14/01/2024,1,190.32,38.06,152.26,13/01/2024,Settled,FALSE
T100178,10222,520,13/01/2024,15/01/2024,2,304.92,15.25,289.67,15/01/2024,Settled,FALSE
T100179,10215,506,13/01/2024,15/01/2024,2,242.32,0,242.32,02/02/2024,Settled,TRUE
T100180,10044,516,13/01/2024,15/01/2024,1,79.83,0,79.83,18/01/2024,Settled,TRUE
T100181,10187,503,13/01/2024,15/01/2024,1,103.95,20.79,83.16,14/01/2024,Settled,FALSE
T100182,10003,514,13/01/2024,15/01/2024,1,151.26,7.56,143.7,13/01/2024,Settled,FALSE
T100183,10062,505,13/01/2024,15/01/2024,1,155.08,0,155.08,23/01/2024,Settled,TRUE
T100184,10024,503,13/01/2024,15/01/2024,3,311.85,62.37,249.48,18/01/2024,Settled,TRUE
T100185,10088,512,13/01/2024,15/01/2024,1,183.58,0,183.58,13/01/2024,Settled,FALSE
T100186,10103,520,13/01/2024,15/01/2024,1,152.46,0,152.46,15/01/2024,Settled,FALSE
T100187,10330,513,13/01/2024,15/01/2024,1,148.84,7.44,141.4,15/01/2024,Settled,FALSE
T100188,10424,519,13/01/2024,15/01/2024,1,81.9,4.1,77.8,12/02/2024,Settled,TRUE
T100189,10191,510,13/01/2024,15/01/2024,1,99.53,0,99.53,27/02/2024,In Arrears,TRUE
T100190,10174,505,13/01/2024,15/01/2024,1,155.08,15.51,139.57,14/01/2024,Settled,FALSE
T100191,10014,504,13/01/2024,15/01/2024,2,158.06,7.9,150.16,15/01/2024,Settled,FALSE
T100192,10412,515,13/01/2024,15/01/2024,1,187.56,9.38,178.18,02/02/2024,Settled,TRUE
T100193,10059,511,13/01/2024,15/01/2024,1,110.44,0,110.44,13/01/2024,Settled,FALSE
T100194,10087,511,13/01/2024,15/01/2024,1,110.44,0,110.44,15/01/2024,Settled,FALSE
T100195,10227,508,14/01/2024,16/01/2024,1,189.86,0,189.86,13/02/2024,Settled,TRUE
T100196,10183,517,14/01/2024,16/01/2024,1,166.76,0,166.76,16/01/2024,Settled,FALSE
T100197,10143,510,14/01/2024,16/01/2024,1,99.53,0,99.53,24/01/2024,Settled,TRUE
T100198,10130,517,14/01/2024,16/01/2024,1,166.76,8.34,158.42,16/01/2024,Settled,FALSE
T100199,10137,501,14/01/2024,16/01/2024,1,190.32,9.52,180.8,14/01/2024,Settled,FALSE
T100200,10095,515,14/01/2024,16/01/2024,1,187.56,18.76,168.8,19/01/2024,Settled,TRUE
T100201,10430,510,14/01/2024,16/01/2024,1,99.53,0,99.53,13/02/2024,Settled,TRUE
T100202,10023,503,14/01/2024,16/01/2024,1,103.95,5.2,98.75,16/01/2024,Settled,FALSE
T100203,10021,502,14/01/2024,16/01/2024,1,12.49,1.25,11.24,19/01/2024,Settled,TRUE
T100204,10346,507,14/01/2024,16/01/2024,1,187.31,18.73,168.58,16/01/2024,Settled,FALSE
T100205,10355,517,14/01/2024,16/01/2024,1,166.76,8.34,158.42,19/01/2024,Settled,TRUE
T100206,10426,506,14/01/2024,16/01/2024,1,121.16,0,121.16,24/01/2024,Settled,TRUE
T100207,10341,501,14/01/2024,16/01/2024,1,190.32,0,190.32,14/03/2024,In Arrears,TRUE
T100208,10417,517,14/01/2024,16/01/2024,1,166.76,8.34,158.42,14/01/2024,Settled,FALSE
T100209,10156,519,15/01/2024,17/01/2024,1,81.9,4.1,77.8,04/02/2024,Settled,TRUE
T100210,10044,506,15/01/2024,17/01/2024,1,121.16,0,121.16,15/01/2024,Settled,FALSE
T100211,10147,511,15/01/2024,17/01/2024,1,110.44,0,110.44,16/01/2024,Settled,FALSE
T100212,10251,508,15/01/2024,17/01/2024,2,379.72,0,379.72,17/01/2024,Settled,FALSE
T100213,10254,518,15/01/2024,17/01/2024,1,152.22,7.61,144.61,20/01/2024,Settled,TRUE
T100214,10454,516,15/01/2024,17/01/2024,1,79.83,3.99,75.84,16/01/2024,Settled,FALSE
T100215,10425,517,15/01/2024,17/01/2024,1,166.76,0,166.76,20/01/2024,Settled,TRUE
T100216,10424,519,15/01/2024,17/01/2024,2,163.8,0,163.8,25/01/2024,Settled,TRUE
T100217,10304,510,15/01/2024,17/01/2024,1,99.53,0,99.53,15/01/2024,Settled,FALSE
T100218,10457,505,15/01/2024,17/01/2024,1,155.08,0,155.08,16/01/2024,Settled,FALSE
T100219,10164,514,15/01/2024,17/01/2024,1,151.26,7.56,143.7,15/01/2024,Settled,FALSE
T100220,10376,505,15/01/2024,17/01/2024,1,155.08,0,155.08,17/01/2024,Settled,FALSE
T100221,10450,510,15/01/2024,17/01/2024,1,99.53,0,99.53,17/01/2024,Settled,FALSE
T100222,10431,514,15/01/2024,17/01/2024,1,151.26,0,151.26,20/01/2024,Settled,TRUE
T100223,10474,512,15/01/2024,17/01/2024,2,367.16,36.72,330.44,15/01/2024,Settled,FALSE
T100224,10194,516,15/01/2024,17/01/2024,1,79.83,0,79.83,17/01/2024,Settled,FALSE
T100225,10471,504,15/01/2024,17/01/2024,2,158.06,15.81,142.25,15/03/2024,In Arrears,TRUE
T100226,10361,507,15/01/2024,17/01/2024,1,187.31,0,187.31,16/01/2024,Settled,FALSE
T100227,10190,503,15/01/2024,17/01/2024,1,103.95,0,103.95,04/02/2024,Settled,TRUE
T100228,10191,502,16/01/2024,18/01/2024,1,12.49,0,12.49,18/01/2024,Settled,FALSE
T100229,10208,507,16/01/2024,18/01/2024,1,187.31,0,187.31,18/01/2024,Settled,FALSE
T100230,10083,515,16/01/2024,18/01/2024,1,187.56,0,187.56,18/01/2024,Settled,FALSE
T100231,10477,501,16/01/2024,18/01/2024,1,190.32,9.52,180.8,26/01/2024,Settled,TRUE
T100232,10368,510,16/01/2024,18/01/2024,1,99.53,0,99.53,21/01/2024,Settled,TRUE
T100233,10081,510,16/01/2024,18/01/2024,1,99.53,0,99.53,16/01/2024,Settled,FALSE
T100234,10018,509,16/01/2024,18/01/2024,1,147.18,0,147.18,21/01/2024,Settled,TRUE
T100235,10478,508,16/01/2024,18/01/2024,1,189.86,0,189.86,15/02/2024,Settled,TRUE
T100236,10024,518,16/01/2024,18/01/2024,2,304.44,30.44,274,26/01/2024,Settled,TRUE
T100237,10500,513,16/01/2024,18/01/2024,1,148.84,0,148.84,21/01/2024,Settled,TRUE
T100238,10193,520,17/01/2024,19/01/2024,1,152.46,0,152.46,16/02/2024,Settled,TRUE
T100239,10192,520,17/01/2024,19/01/2024,1,152.46,7.62,144.84,19/01/2024,Settled,FALSE
T100240,10439,502,17/01/2024,19/01/2024,1,12.49,1.25,11.24,18/01/2024,Settled,FALSE
T100241,10057,520,17/01/2024,19/01/2024,1,152.46,0,152.46,18/01/2024,Settled,FALSE
T100242,10349,506,17/01/2024,19/01/2024,1,121.16,12.12,109.04,18/01/2024,Settled,FALSE
T100243,10247,513,17/01/2024,19/01/2024,1,148.84,0,148.84,18/01/2024,Settled,FALSE
T100244,10216,517,17/01/2024,19/01/2024,1,166.76,0,166.76,22/01/2024,Settled,TRUE
T100245,10173,514,17/01/2024,19/01/2024,1,151.26,15.13,136.13,02/03/2024,In Arrears,TRUE
T100246,10387,517,17/01/2024,19/01/2024,1,166.76,0,166.76,18/01/2024,Settled,FALSE
T100247,10209,512,17/01/2024,19/01/2024,1,183.58,18.36,165.22,27/01/2024,Settled,TRUE
T100248,10308,514,17/01/2024,19/01/2024,1,151.26,15.13,136.13,19/01/2024,Settled,FALSE
T100249,10126,507,17/01/2024,19/01/2024,2,374.62,18.73,355.89,19/01/2024,Settled,FALSE
T100250,10121,509,17/01/2024,19/01/2024,1,147.18,0,147.18,19/01/2024,Settled,FALSE
T100251,10336,514,17/01/2024,19/01/2024,1,151.26,15.13,136.13,22/01/2024,Settled,TRUE
T100252,10463,509,17/01/2024,19/01/2024,1,147.18,0,147.18,19/01/2024,Settled,FALSE
T100253,10357,511,17/01/2024,19/01/2024,1,110.44,5.52,104.92,22/01/2024,Settled,TRUE
T100254,10211,508,17/01/2024,19/01/2024,1,189.86,18.99,170.87,02/03/2024,In Arrears,TRUE
T100255,10147,517,17/01/2024,19/01/2024,1,166.76,0,166.76,18/01/2024,Settled,FALSE
T100256,10236,518,18/01/2024,20/01/2024,1,152.22,7.61,144.61,17/02/2024,Settled,TRUE
T100257,10081,507,18/01/2024,20/01/2024,1,187.31,18.73,168.58,20/01/2024,Settled,FALSE
T100258,10034,504,18/01/2024,20/01/2024,2,158.06,7.9,150.16,23/01/2024,Settled,TRUE
T100259,10153,502,18/01/2024,20/01/2024,1,12.49,1.25,11.24,23/01/2024,Settled,TRUE
T100260,10275,510,18/01/2024,20/01/2024,2,199.06,0,199.06,20/01/2024,Settled,FALSE
T100261,10169,501,18/01/2024,20/01/2024,1,190.32,0,190.32,07/02/2024,Settled,TRUE
T100262,10091,511,18/01/2024,20/01/2024,1,110.44,0,110.44,23/01/2024,Settled,TRUE
T100263,10065,507,18/01/2024,20/01/2024,1,187.31,0,187.31,03/03/2024,In Arrears,TRUE
T100264,10222,520,18/01/2024,20/01/2024,1,152.46,0,152.46,23/01/2024,Settled,TRUE
T100265,10241,511,18/01/2024,20/01/2024,1,110.44,0,110.44,18/01/2024,Settled,FALSE
T100266,10273,501,18/01/2024,20/01/2024,1,190.32,0,190.32,20/01/2024,Settled,FALSE
